Moisture_value,PH,Temperature,Class
297,6.64,22.4,1
288,6.66,22.4,1
259,6.61,22.4,1
230,5.98,22.4,1
233,6.98,22.5,1
236,6.6,22.5,1
237,6.99,22.4,1
240,6.69,22.5,1
244,6.88,22.4,1
242,7.04,22.4,1
291,6.25,22.4,1
281,6.77,22.5,1
283,6.79,22.5,1
291,7.27,22.4,1
294,6.61,22.4,1
290,7.09,22.4,1
316,7.24,22.5,1
368,6.58,22.5,1
360,6.54,22.5,1
306,6.83,22.5,1
334,6.76,22.5,1
355,6.56,22.4,1
413,6.92,22.5,1
440,7.18,22.5,1
334,6.49,22.5,1
309,6.3,22.5,1
307,6.96,22.5,1
307,6.79,22.5,1
307,6.59,22.5,1
307,6.43,22.5,1
303,6.54,22.5,1
307,6.85,22.5,1
307,6.9,22.5,1
209,6.65,22.5,1
209,6.95,22.5,1
207,6.06,22.5,1
208,6.78,22.5,1
188,7.02,22.4,1
195,7.17,22.5,1
196,6.76,22.5,1
195,6.8,22.5,1
196,6.77,22.5,1
197,6.79,22.5,1
197,6.66,24.3,1
199,6.8,24.4,1
199,6.4,24.4,1
198,6.26,24.4,1
200,6.78,24.3,1
209,6.79,24.4,1
214,7.12,24.4,1
310,6.29,24.4,1
277,6.4,24.4,1
282,6.63,24.4,1
282,6.9,24.4,1
297,6.64,22.8,1
297,6.16,22.6,1
297,6.32,22.8,1
199,6.68,22.7,1
201,6.61,22.9,1
320,6.84,22.9,1
256,6.58,22.9,1
256,6.91,22.9,1
255,6.3,22.9,1
255,6.2,22.9,1
255,5.88,22.9,1
255,6.47,23,1
209,6.64,22.9,1
214,6.52,22.8,1
218,6.41,22.8,1
221,6.2,22.8,1
223,6.4,22.8,1
224,6.47,22.8,1
224,6.6,22.8,1
225,6.69,22.8,1
225,6.56,22.8,1
225,6.71,22.8,1
226,6.46,22.8,1
226,6.7,22.8,1
226,6.19,22.8,1
226,6.61,22.8,1
226,6.64,22.8,1
226,6.42,22.8,1
226,6.6,22.8,1
228,6.53,22.8,1
226,6.33,22.8,1
228,6.56,22.8,1
228,6.58,22.8,1
261,6.3,22.8,1
262,6.36,22.8,1
262,6.44,22.8,1
264,6.58,22.8,1
264,6.16,22.8,1
264,6.5,22.8,1
264,5.73,22.8,1
264,6.9,22.8,1
264,6.36,22.8,1
264,6.6,22.8,1
249,6.41,22.8,1
253,6.58,22.9,1
254,6.32,22.9,1
254,5.45,22.9,1
254,6.03,22.9,1
254,6.21,22.8,1
255,5.33,22.9,1
255,5.22,22.9,1
255,5.8,22.8,1
255,5.27,22.8,1
255,5.99,22.8,1
278,5.24,22.8,1
264,5.77,22.8,1
298,5.67,22.8,1
302,6.13,22.8,1
293,6.03,22.8,1
292,5.9,22.8,1
292,5.67,22.8,1
291,5.73,22.8,1
300,5.88,22.8,1
298,5.67,22.8,1
298,6.14,22.9,1
298,5.83,22.9,1
298,6.15,22.9,1
297,5.63,22.9,1
298,5.63,22.8,1
298,5.41,22.9,1
298,6.07,22.9,1
297,5.53,22.9,1
297,5.47,22.9,1
298,5.89,22.9,1
298,5.9,22.9,1
298,5.97,22.9,1
298,5.84,22.9,1
297,6,22.8,1
297,5.85,22.9,1
297,5.5,22.8,1
296,5.58,22.8,1
297,5.47,22.9,1
297,5.77,22.8,1
297,5.87,22.9,1
297,5.4,22.8,1
297,5.88,22.8,1
297,6.08,22.8,1
296,6.16,22.9,1
296,5.69,22.8,1
296,5.77,22.9,1
296,5.71,22.8,1
296,5.87,22.8,1
296,5.75,22.8,1
296,5.87,22.8,1
296,5.66,22.8,1
296,5.79,22.8,1
296,5.75,22.8,1
296,5.79,22.8,1
296,5.71,22.8,1
296,5.84,22.8,1
296,5.64,22.8,1
296,5.71,22.8,1
296,5.52,22.8,1
297,5.6,22.8,1
300,5.63,22.8,1
202,5.52,22.8,1
297,5.71,22.8,1
297,5.46,22.8,1
297,5.77,22.8,1
391,5.32,22.8,1
297,5.53,22.8,1
297,5.64,22.8,1
297,5.3,22.8,1
297,5.7,22.8,1
209,5.45,22.7,1
220,5.94,22.7,1
256,5.58,22.7,1
229,5.8,22.7,1
291,6,22.7,1
293,5.6,22.7,1
293,5.79,22.7,1
293,5.65,22.7,1
293,5.64,22.7,1
293,5.85,22.7,1
293,5.14,22.7,1
293,5.99,22.7,1
293,5.55,22.7,1
293,5.65,22.7,1
293,5.68,22.7,1
293,5.79,22.7,1
296,5.82,22.7,1
296,5.72,22.7,1
296,5.62,22.7,1
300,5.71,22.7,1
301,5.79,22.7,1
307,5.39,22.7,1
309,5.85,22.7,1
310,5.45,22.7,1
309,5.67,22.7,1
316,5.87,22.7,1
310,5.57,22.7,1
310,5.69,22.7,1
312,5.84,22.7,1
313,5.6,22.7,1
312,5.87,22.7,1
312,5.61,22.7,1
312,5.56,22.7,1
310,5.88,22.7,1
310,5.63,22.7,1
309,5.42,22.7,1
309,5.84,22.7,1
309,5.72,22.7,1
309,5.64,22.7,1
309,5.73,22.7,1
309,5.45,22.7,1
308,5.63,22.7,1
308,5.64,22.7,1
308,5.72,22.7,1
308,5.62,22.7,1
308,5.69,22.7,1
308,5.5,22.7,1
308,5.76,22.7,1
309,5.46,22.7,1
309,5.33,22.7,1
309,5.54,22.7,1
309,5.74,22.7,1
308,5.61,22.7,1
308,5.73,22.7,1
308,5.41,22.7,1
308,5.76,22.7,1
308,5.59,22.7,1
308,5.62,22.7,1
308,5.61,22.7,1
308,5.38,22.7,1
308,5.54,22.7,1
308,5.56,22.6,1
308,5.52,22.6,1
308,5.96,22.7,1
308,5.62,22.7,1
308,5.56,22.6,1
308,5.43,22.6,1
308,5.46,22.7,1
309,5.78,22.6,1
309,5.8,22.6,1
308,6.57,22.6,1
308,5.35,22.6,1
309,6.03,22.6,1
309,6.16,22.6,1
308,6.29,22.6,1
309,6.27,22.6,1
308,6.19,22.6,1
309,6.33,22.6,1
309,5.74,22.6,1
308,6.24,22.6,1
309,6.26,22.6,1
308,6.05,22.6,1
309,6.24,22.6,1
309,5.46,22.6,1
313,6.32,22.6,1
310,6.13,22.6,1
309,5.96,22.6,1
